Network Name,Geography,Scale (No. Sensors),Owner / Operator,Funder(s),Sensor Type / Brand,Pollutants Measured,Data Availability,Primary Goals,Status (Apr 2026),Start Year,End Year (if applicable),Notes / Key Findings,Source / URL,Latitude,Longitude
Breathe London,London (all 33 boroughs),400+ sites (146 core + community),GLA / Imperial College London ERG,"Mayor of London, Bloomberg Philanthropies; Vodafone consortium (2025+)",Clarity Node-S (Clarity Movement Co.),"NO2, PM2.5","Open — breathelondon.org, API, hourly data",Hyperlocal real-time AQ data for London; public engagement; ULEZ evaluation; school/hospital alerts,Active,2018,,"Largest UK LCS network. Vodafone-led consortium from 2025 (Airly, Ricardo, CERC, Cambridge). Sensors £2,095 install + £995/yr. Community programme gives 60 free sensors. 10 sensors on Oxford Street for pedestrianisation monitoring.",https://www.breathelondon.org,51.509,-0.118
Vortex / Hammersmith & Fulham,London Borough of Hammersmith & Fulham,500,LB Hammersmith & Fulham / Vortex IoT (Marston Holdings),LB Hammersmith & Fulham,VTX Air (Vortex IoT),"PM2.5, PM10, NO2, gases",Public dashboard — vortexiot.com portal,Borough-wide hyperlocal AQ; traffic management; pollution hotspot identification; 'greenest borough' ambition,Active,2020,,"Claims densest AQ sensor network globally at 80 sensors/sq mi. AI-powered, mesh network (no SIM). Linked to traffic congestion reduction scheme. Award-winning.",https://vortexiot.com/case-studies/hammersmith-and-fulham,51.492,-0.224
West Midlands Combined Authority (WMCA),West Midlands region (7 metropolitan boroughs),90,WMCA / EarthSense,Defra (£1.5m government funding); WMCA,EarthSense Zephyr,"PM2.5, PM10, NO2, NO, O3",Public — cleanair.wmca.org.uk,Region-wide PM monitoring; WHO threshold alerts; Clean Air Plan alternative to CAZ; public health warnings,Active,2023,,"4-year contract worth £550k with EarthSense. First region-wide PM monitoring outside London. Text/email/voicemail alerts when WHO thresholds exceeded. Sensors at schools, hospitals, sports centres.",https://cleanair.wmca.org.uk,52.486,-1.89
Brighton & Hove / Sussex,"Brighton & Hove, Horsham, Newhaven (Sussex)",50,Brighton & Hove City Council / EarthSense,Defra Air Quality Grant; Carbon Neutral Fund,EarthSense Zephyr,"NO2, NO, O3, CO, CO2, SO2, H2S, PM1, PM2.5, PM10",Public portal — portal.earthsense.co.uk/BrightonHoveandSussex,One of largest UK real-time networks; 12 AQMAs monitoring; port emissions; solid fuel burning ('Cosy Killer' campaign),Active,2024,,40 in Brighton & Hove + sensors in Horsham and Newhaven. Comprehensive pollutant suite including H2S and SO2 (port-relevant). Real-time 24/7 public portal.,https://portal.earthsense.co.uk/BrightonHoveandSussexPublic/,50.823,-0.137
Worcestershire,Worcestershire (county-wide),24,Worcestershire County Council / EarthSense,Worcestershire County Council,EarthSense Zephyr,"PM2.5, PM10, NO2, NO, O3",EarthSense portal (public access TBC),County-wide AQ policy evidence; EarthSense's 2nd largest UK network,Active,2025,,3-year contract with renewal options. Part of EarthSense's managed network service model.,https://www.earthsense.co.uk/post/managed-air-quality-network-service,52.192,-2.221
Neath Port Talbot,"Port Talbot, Wales (Margam to Baglan)",70,Neath Port Talbot Council / Vortex IoT,Swansea Bay City Deal (DARE Strategy),VTX Air (Vortex IoT),"PM2.5, PM10, gases",Public dashboard (council/Vortex portal),Industrial emissions monitoring (near Tata Steel); community-level pollution mapping; intervention targeting,Active,2023,,"First of its kind in Wales. Pilot study on lampposts in residential areas near steelworks. Part of Decarbonisation and Renewable Energy (DARE) Strategy. High-density around Taibach, Aberavon, Sandfields.",https://vortexiot.com/case-studies/neath-port-talbot,51.591,-3.803
Swansea Smart City,"Swansea, Wales",~20-30 (est.),Swansea Council / Vortex IoT / Swansea University,Innovate UK,VTX Air (Vortex IoT),"PM2.5, PM10, gases",Council dashboard,Smart city AQ + parking detection; connected to CCTV network,Active,2021,,Innovate UK-funded. Vortex also a supplier in Welsh Government Well-Being Wales programme. Uses existing CCTV infrastructure for backhaul.,https://vortexiot.com,51.622,-3.943
Sensing Leeds / West Yorkshire PIIP,Leeds + West Yorkshire,200+ PurpleAir (research) + ~40 council,University of Leeds (Jim McQuaid) / Leeds City Council / WYCA,Defra Air Quality Grant (£220k for PIIP); University of Leeds,PurpleAir PA-II,"PM2.5, PM10 (laser scattering)",PurpleAir map (public); research data via University,"Research: domestic burning patterns, degree-day analysis; Council: public health messaging, West Yorkshire dashboard",Active,~2020,,4+ years of 2-min resolution data. Key research finding: 7pm domestic burning peak distinct from traffic. North Leeds 'Golden Triangle' = high EV + high log burner. PIIP extends to West Yorkshire-wide dashboard. Jim McQuaid & Kirsty prominent in AQ Stripes comms.,https://environment.leeds.ac.uk,53.801,-1.549
Aeternum Liverpool,"Liverpool (city-wide, inc. 10A bus route)",56,University of Liverpool (GeoDS) / Aeternum Innovations,University of Liverpool; Aeternum,Aeternum micro-sensors (AlphaSense OPC-N3 + EC NO2),"PM1, PM2.5, PM10 (size-binned), NO2, temp, humidity",Open data via Geographic Data Service (data.geods.ac.uk),Research: urban AQ characterisation; source apportionment potential; bus route exposure,Active,2021,,"Solar/battery powered, no mains needed. Size-binned PM data (all OPC-N3 bins). Linear deployment along 10A bus route (2023). Up to 3 years of historic data. Aeternum is a sensor manufacturer based in Liverpool and Dulles, VA.",https://data.geods.ac.uk/dataset/air-pollution-sensors-in-liverpool,53.408,-2.992
Airly / Lambeth,London Borough of Lambeth,60,Lambeth Council / Airly,Lambeth Council,Airly sensors (MCERTS-certified PM),"PM2.5, PM10, NO2",Airly Data Platform (public),Borough-wide real-time AQ; public engagement; policy evidence,Active,~2023,,One of larger London borough deployments outside Breathe London. Airly sensors are MCERTS-certified for indicative PM monitoring.,https://airly.org/en/,51.461,-0.116
